Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
O.J. Simpson,BUF,RB,28.0,376.29999999999995,14.0,14.0,0.0,0.0,0.0,1817.0,16.0,329.0,426.0,7.0,,28.0,0.0,7.0,0.0
Chuck Foreman,MIN,RB,25.0,357.1,14.0,12.0,0.0,0.0,0.0,1070.0,13.0,280.0,691.0,9.0,,73.0,0.0,12.0,0.0
Lydell Mitchell,BAL,RB,26.0,313.7,14.0,14.0,0.0,0.0,0.0,1193.0,11.0,289.0,544.0,4.0,,60.0,0.0,5.0,0.0
Ken Anderson,CIN,QB,26.0,211.56,13.0,13.0,3169.0,21.0,377.0,188.0,2.0,49.0,0.0,0.0,,0.0,11.0,4.0,0.0
Fran Tarkenton,MIN,QB,35.0,214.56,14.0,14.0,2994.0,25.0,425.0,108.0,2.0,16.0,0.0,0.0,,0.0,13.0,1.0,0.0
Franco Harris,PIT,RB,25.0,222.0,14.0,14.0,0.0,0.0,0.0,1246.0,10.0,262.0,214.0,1.0,,28.0,0.0,9.0,0.0
Bert Jones,BAL,QB,24.0,203.42,14.0,14.0,2483.0,18.0,344.0,321.0,3.0,47.0,0.0,0.0,,0.0,8.0,1.0,0.0
Mel Gray,STL,WR,27.0,205.2,14.0,14.0,0.0,0.0,0.0,6.0,0.0,1.0,926.0,11.0,,48.0,0.0,1.0,0.0
Roger Staubach,DAL,QB,33.0,188.23999999999998,13.0,13.0,2666.0,17.0,348.0,316.0,4.0,55.0,0.0,0.0,,0.0,16.0,5.0,0.0
Ken Burrough,HOU,WR,27.0,205.3,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,8.0,,53.0,0.0,1.0,0.0
Terry Metcalf,STL,RB,24.0,218.44,13.0,13.0,51.0,1.0,2.0,816.0,9.0,165.0,378.0,2.0,,43.0,0.0,8.0,0.0
John Riggins,NYJ,RB,26.0,210.8,14.0,14.0,0.0,0.0,0.0,1005.0,8.0,238.0,363.0,1.0,,30.0,0.0,5.0,0.0
Greg Pruitt,CLE,RB,24.0,214.60000000000002,14.0,14.0,0.0,0.0,0.0,1067.0,8.0,217.0,299.0,1.0,,44.0,0.0,10.0,0.0
Lynn Swann,PIT,WR,23.0,186.4,14.0,12.0,0.0,0.0,0.0,13.0,0.0,3.0,781.0,11.0,,49.0,0.0,4.0,0.0
Cliff Branch,OAK,WR,27.0,196.10000000000002,14.0,14.0,0.0,0.0,0.0,18.0,0.0,2.0,893.0,9.0,,51.0,0.0,0.0,0.0
Jim Braxton,BUF,RB,26.0,200.5,14.0,14.0,0.0,0.0,0.0,823.0,9.0,186.0,282.0,4.0,,26.0,0.0,7.0,0.0
Mike Thomas,WAS,RB,22.0,204.2,14.0,10.0,0.0,0.0,0.0,919.0,4.0,235.0,483.0,3.0,,40.0,0.0,9.0,0.0
Joe Ferguson,BUF,QB,25.0,169.24,14.0,14.0,2426.0,25.0,321.0,82.0,1.0,23.0,0.0,0.0,,0.0,17.0,4.0,0.0
Isaac Curtis,CIN,WR,25.0,176.5,14.0,14.0,0.0,0.0,0.0,-9.0,0.0,6.0,934.0,7.0,,44.0,0.0,1.0,0.0
Terry Bradshaw,PIT,QB,27.0,163.2,14.0,14.0,2055.0,18.0,286.0,210.0,3.0,35.0,0.0,0.0,,0.0,9.0,6.0,0.0
Drew Pearson,DAL,WR,24.0,175.29999999999998,14.0,14.0,0.0,0.0,0.0,11.0,0.0,1.0,822.0,8.0,,46.0,0.0,1.0,0.0
Frank Grant,WAS,WR,25.0,167.2,14.0,9.0,0.0,0.0,0.0,46.0,0.0,3.0,776.0,8.0,,41.0,0.0,2.0,0.0
Gene Washington,SFO,WR,28.0,169.1,14.0,14.0,0.0,0.0,1.0,-4.0,0.0,1.0,735.0,9.0,,44.0,0.0,1.0,0.0
Pete Banaszak,OAK,RB,31.0,177.6,14.0,0.0,0.0,0.0,0.0,672.0,16.0,187.0,64.0,0.0,,10.0,0.0,1.0,0.0
Billy Kilmer,WAS,QB,36.0,161.0,12.0,12.0,2440.0,23.0,346.0,34.0,1.0,11.0,0.0,0.0,,0.0,16.0,3.0,0.0
John Gilliam,MIN,WR,30.0,171.2,14.0,14.0,0.0,0.0,0.0,35.0,0.0,3.0,777.0,7.0,,50.0,0.0,1.0,0.0
Harold Jackson,RAM,WR,29.0,161.6,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,7.0,,43.0,0.0,1.0,0.0
